ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
2931, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2932, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2933, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2934, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2935, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2936, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2937, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2938, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2939, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2940, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2941, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2942, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2943, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2944, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2945, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2946, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2947, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2948, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2949, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2950, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2951, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2952, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2953, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2954, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2955, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2956, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2957, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2958, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2959, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2960, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2961, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2962, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2963, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2964, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2965, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2966, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2967, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2968, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2969, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2970, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2971, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2972, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2973, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2974, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2975, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2976, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2977, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2978, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2979, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2980, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2981, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2982, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2983, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2984, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2985, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2986, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2987, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2988, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2989, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2990, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2991, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2992, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2993, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2994, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2995, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2996, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2997, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2998, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
2999, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3000, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3001, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3002, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3003, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3004, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3005, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3006, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3007, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3008, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3009, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3010, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3011, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3012, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3013, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3014, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3015, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3016, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3017, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3018, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3019, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3020, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3021, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3022, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3023, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3024, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3025, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3026, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3027, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3028, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3029, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3030, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3031, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3032, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3033, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3034, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3035, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3036, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3037, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3038, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3039, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3040, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3041, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3042, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3043, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3044, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3045, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3046, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3047, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3048, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3049, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3050, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3051, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3052, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3053, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3054, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3055, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3056, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3057, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3058, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3059, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3060, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3061, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3062, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3063, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3064, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3065, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3066, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3067, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3068, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3069, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3070, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3071, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3072, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3073, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3074, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3075, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3076, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3077, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3078, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3079, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3080, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3081, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3082, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3083, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3084, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3085, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3086, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3087, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3088, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3089, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3090, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3091, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3092, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3093, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3094, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3095, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3096, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3097, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3098, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3099, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3100, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3101, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3102, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3103, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3104, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3105, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3106, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3107, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3108, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3109, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3110, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3111, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3112, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3113, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3114, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3115, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3116, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3117, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3118, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3119, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3120, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3121, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3122, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3123, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3124, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3125, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3126, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3127, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3128, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3129, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3130, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3131, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3132, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3133, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3134, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3135, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3136, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3137, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3138, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3139, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3140, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3141, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3142, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
3143, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
