ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
80, 183.326,130.474,77.2629,-2.80672,2.83941,4.6618,12.7335,90.9905,56.0061,29.6845,56.4766,38.624,,
81, 183.328,130.487,77.2934,-2.75693,2.89531,4.71394,12.7856,91.0209,56.0403,29.7275,56.5134,38.6628,,
82, 183.329,130.5,77.3225,-2.70895,2.94914,4.76422,12.8357,91.0499,56.0731,29.7687,56.5488,38.7,,
83, 183.331,130.513,77.3502,-2.66272,3.00097,4.81269,12.8841,91.0776,56.1046,29.8082,56.5829,38.7358,,
84, 183.332,130.524,77.3766,-2.61817,3.05087,4.85943,12.9306,91.1041,56.1349,29.8461,56.6156,38.7701,,
85, 183.334,130.536,77.4018,-2.57525,3.0989,4.90449,12.9755,91.1293,56.1639,29.8823,56.647,38.803,,
86, 183.335,130.546,77.4257,-2.53391,3.14515,4.94792,13.0186,91.1534,56.1918,29.917,56.6773,38.8347,,
87, 183.337,130.556,77.4486,-2.49408,3.18966,4.98978,13.0602,91.1765,56.2185,29.9503,56.7064,38.865,,
88, 183.338,130.566,77.4704,-2.45571,3.2325,5.03012,13.1003,91.1985,56.2442,29.9822,56.7343,38.8941,,
89, 183.339,130.575,77.4912,-2.41876,3.27372,5.069,13.1388,91.2195,56.2688,30.0128,56.7612,38.9221,,
90, 183.34,130.584,77.511,-2.38317,3.3134,5.10647,13.1759,91.2396,56.2925,30.042,56.787,38.9489,,
91, 183.341,130.593,77.53,-2.34889,3.35158,5.14256,13.2117,91.2589,56.3152,30.0701,56.8119,38.9747,,
92, 183.342,130.601,77.548,-2.31588,3.38832,5.17734,13.246,91.2773,56.3371,30.097,56.8358,38.9994,,
93, 183.343,130.608,77.5653,-2.2841,3.42367,5.21084,13.2791,91.2948,56.358,30.1229,56.8587,39.0232,,
94, 183.344,130.615,77.5818,-2.25349,3.45768,5.24312,13.311,91.3116,56.3782,30.1476,56.8808,39.046,,
95, 183.345,130.622,77.5975,-2.22402,3.4904,5.2742,13.3417,91.3277,56.3975,30.1713,56.9021,39.0679,,
96, 183.346,130.629,77.6125,-2.19564,3.52187,5.30415,13.3712,91.3431,56.4161,30.1941,56.9225,39.0889,,
97, 183.347,130.636,77.6269,-2.16833,3.55215,5.33298,13.3995,91.3578,56.4339,30.2159,56.9421,39.1091,,
98, 183.348,130.642,77.6406,-2.14203,3.58128,5.36076,13.4269,91.3719,56.4511,30.2368,56.961,39.1285,,
99, 183.349,130.647,77.6537,-2.11671,3.6093,5.3875,13.4531,91.3853,56.4676,30.2569,56.9791,39.1471,,
100, 183.349,130.653,77.6663,-2.09234,3.63625,5.41326,13.4784,91.3982,56.4834,30.2762,56.9966,39.165,,
101, 183.35,130.658,77.6782,-2.06888,3.66217,5.43805,13.5027,91.4106,56.4986,30.2947,57.0134,39.1821,,
102, 183.351,130.663,77.6897,-2.0463,3.6871,5.46193,13.5261,91.4224,56.5132,30.3124,57.0295,39.1986,,
103, 183.351,130.668,77.7006,-2.02456,3.71108,5.48492,13.5487,91.4337,56.5272,30.3294,57.0451,39.2144,,
104, 183.352,130.673,77.7111,-2.00364,3.73414,5.50705,13.5703,91.4445,56.5407,30.3457,57.06,39.2296,,
105, 183.353,130.677,77.7212,-1.98351,3.75632,5.52836,13.5911,91.4549,56.5537,30.3614,57.0743,39.2442,,
106, 183.353,130.682,77.7307,-1.96413,3.77765,5.54887,13.6112,91.4648,56.5662,30.3764,57.0881,39.2582,,
107, 183.354,130.686,77.7399,-1.94549,3.79816,5.56861,13.6304,91.4744,56.5781,30.3908,57.1014,39.2717,,
108, 183.354,130.69,77.7487,-1.92754,3.81788,5.58761,13.649,91.4835,56.5896,30.4047,57.1142,39.2846,,
109, 183.355,130.693,77.7571,-1.91027,3.83685,5.6059,13.6668,91.4922,56.6007,30.418,57.1265,39.2971,,
110, 183.355,130.697,77.7652,-1.89366,3.85509,5.62351,13.684,91.5006,56.6113,30.4307,57.1383,39.309,,
111, 183.356,130.701,77.7729,-1.87767,3.87263,5.64045,13.7004,91.5086,56.6215,30.4429,57.1496,39.3204,,
112, 183.356,130.704,77.7802,-1.86228,3.88949,5.65676,13.7163,91.5163,56.6313,30.4547,57.1605,39.3315,,
113, 183.357,130.707,77.7873,-1.84748,3.90571,5.67245,13.7315,91.5236,56.6408,30.466,57.171,39.342,,
114, 183.357,130.71,77.7941,-1.83324,3.9213,5.68756,13.7462,91.5307,56.6498,30.4768,57.1811,39.3522,,
115, 183.357,130.713,77.8005,-1.81953,3.9363,5.70209,13.7603,91.5374,56.6586,30.4872,57.1908,39.3619,,
116, 183.358,130.716,77.8067,-1.80635,3.95071,5.71607,13.7739,91.5439,56.6669,30.4972,57.2001,39.3713,,
117, 183.358,130.718,77.8127,-1.79366,3.96457,5.72953,13.7869,91.5501,56.675,30.5067,57.2091,39.3803,,
118, 183.358,130.721,77.8184,-1.78146,3.9779,5.74248,13.7994,91.5561,56.6827,30.5159,57.2177,39.389,,
119, 183.359,130.723,77.8238,-1.76972,3.99071,5.75494,13.8115,91.5618,56.6902,30.5248,57.226,39.3973,,
120, 183.359,130.726,77.8291,-1.75843,4.00303,5.76692,13.8231,91.5673,56.6973,30.5333,57.234,39.4053,,
121, 183.359,130.728,77.8341,-1.74756,4.01487,5.77846,13.8342,91.5726,56.7042,30.5414,57.2417,39.4129,,
122, 183.36,130.73,77.8389,-1.73711,4.02626,5.78955,13.845,91.5776,56.7108,30.5492,57.2491,39.4203,,
123, 183.36,130.732,77.8435,-1.72706,4.0372,5.80023,13.8553,91.5824,56.7171,30.5567,57.2562,39.4274,,
124, 183.36,130.734,77.8479,-1.71739,4.04773,5.8105,13.8652,91.5871,56.7232,30.5639,57.263,39.4342,,
125, 183.36,130.736,77.8521,-1.70808,4.05785,5.82038,13.8747,91.5915,56.7291,30.5709,57.2695,39.4407,,
126, 183.361,130.738,77.8562,-1.69914,4.06757,5.82988,13.8839,91.5958,56.7347,30.5775,57.2759,39.447,,
127, 183.361,130.74,77.8601,-1.69053,4.07693,5.83902,13.8927,91.5999,56.7402,30.5839,57.2819,39.453,,
128, 183.361,130.741,77.8638,-1.68225,4.08592,5.84782,13.9011,91.6038,56.7454,30.5901,57.2877,39.4588,,
129, 183.361,130.743,77.8674,-1.67429,4.09456,5.85628,13.9093,91.6076,56.7504,30.5959,57.2934,39.4644,,
130, 183.362,130.745,77.8708,-1.66663,4.10287,5.86442,13.9171,91.6112,56.7552,30.6016,57.2987,39.4697,,
131, 183.362,130.746,77.8741,-1.65926,4.11086,5.87225,13.9246,91.6146,56.7598,30.607,57.3039,39.4749,,
132, 183.362,130.747,77.8773,-1.65218,4.11854,5.87978,13.9319,91.618,56.7643,30.6123,57.3089,39.4798,,
133, 183.362,130.749,77.8803,-1.64537,4.12592,5.88702,13.9388,91.6212,56.7686,30.6173,57.3137,39.4845,,
134, 183.362,130.75,77.8832,-1.63881,4.13302,5.89399,13.9455,91.6242,56.7727,30.6221,57.3183,39.4891,,
135, 183.363,130.751,77.886,-1.63251,4.13984,5.90069,13.9519,91.6272,56.7766,30.6267,57.3228,39.4935,,
136, 183.363,130.753,77.8887,-1.62645,4.1464,5.90713,13.9581,91.63,56.7804,30.6312,57.327,39.4977,,
137, 183.363,130.754,77.8912,-1.62062,4.15271,5.91333,13.964,91.6327,56.7841,30.6355,57.3311,39.5017,,
138, 183.363,130.755,77.8937,-1.61501,4.15877,5.91929,13.9698,91.6353,56.7876,30.6396,57.335,39.5056,,
139, 183.363,130.756,77.896,-1.60962,4.1646,5.92502,13.9752,91.6378,56.791,30.6435,57.3388,39.5093,,
140, 183.363,130.757,77.8983,-1.60444,4.1702,5.93054,13.9805,91.6402,56.7942,30.6473,57.3425,39.5129,,
141, 183.363,130.758,77.9005,-1.59945,4.17559,5.93584,13.9856,91.6425,56.7973,30.6509,57.346,39.5164,,
142, 183.364,130.759,77.9026,-1.59466,4.18076,5.94094,13.9905,91.6447,56.8003,30.6544,57.3493,39.5197,,
143, 183.364,130.76,77.9046,-1.59005,4.18574,5.94584,13.9952,91.6468,56.8032,30.6578,57.3526,39.5229,,
144, 183.364,130.761,77.9065,-1.58561,4.19052,5.95056,13.9997,91.6488,56.806,30.661,57.3557,39.5259,,
145, 183.364,130.762,77.9083,-1.58135,4.19512,5.9551,14.004,91.6508,56.8087,30.6641,57.3587,39.5289,,
146, 183.364,130.762,77.9101,-1.57725,4.19954,5.95946,14.0082,91.6527,56.8112,30.6671,57.3616,39.5317,,
